Date/Time,Word Count,en,ru
2022.04.11-13.30.46,243,243,0
2022.04.11-16.31.36,245,245,0
2022.04.12-23.25.41,250,250,0
2022.04.15-02.19.31,209,209,0
2022.04.15-02.41.24,209,209,161
2022.04.15-02.41.51,209,209,157
2022.04.16-00.58.06,209,209,149
2022.04.16-01.12.22,209,209,142
2022.04.16-18.14.07,337,337,142
2022.04.17-01.33.39,459,459,77
2022.04.17-01.38.48,236,236,77
2022.04.17-02.41.21,273,273,77
2022.04.17-14.45.24,259,259,77
2022.04.17-15.57.43,267,267,77
2022.04.17-19.00.30,265,265,75
2022.04.17-19.50.36,265,265,265
2022.04.17-20.15.05,265,265,260
2022.04.17-20.17.07,265,265,265
2022.04.23-18.10.01,274,274,260
2022.04.24-12.29.56,277,277,260
2022.04.24-19.17.08,278,278,260
2022.04.28-02.14.51,306,306,259
2022.04.28-02.29.41,304,304,261
2022.04.28-02.32.18,303,303,264
2022.04.28-02.39.47,303,303,300
2022.04.28-02.40.53,304,304,298
2022.04.28-02.41.52,304,304,300
2022.04.28-02.44.21,301,301,300
2022.04.28-02.45.03,301,301,301
2022.04.28-12.57.37,302,302,301
2022.04.28-12.58.54,302,302,302
2022.04.28-14.44.56,451,451,302
2022.04.28-14.46.07,451,451,304
2022.04.28-14.47.25,304,304,304
2022.04.28-15.05.34,303,303,303
2022.04.29-02.44.41,303,303,301
2022.04.29-02.45.11,303,303,303
2022.05.18-02.24.13,327,327,303
2022.05.18-11.26.11,336,336,302
2022.05.18-11.30.13,337,337,302
2022.05.18-19.29.07,348,348,302
2022.05.18-19.31.40,345,345,296
2022.05.18-19.45.06,345,345,345
2022.05.19-02.57.56,359,359,344
2022.05.19-03.06.45,359,359,357
2022.05.19-03.07.37,359,359,359
2022.05.24-15.17.05,377,377,359
2022.05.24-15.26.20,377,377,377
2022.05.24-15.28.51,377,377,376
2022.05.24-15.29.45,377,377,377
2022.05.26-18.00.37,397,397,377
2022.05.26-18.05.56,397,397,397
